# АНАЛИЗ ПО ВРЕМЕНИ СУТОК

## Распределение сессий по часам

| Час | Lost | Stay | Всего |
|-----|------|------|-------|
| 00:00 | 224 | 1,079 | 1,303 |
| 01:00 | 235 | 1,181 | 1,416 |
| 02:00 | 461 | 2,413 | 2,874 |
| 03:00 | 1,284 | 6,500 | 7,784 |
| 04:00 | 2,481 | 12,410 | 14,891 |
| 05:00 | 5,241 | 20,905 | 26,146 |
| 06:00 | 5,364 | 23,095 | 28,459 |
| 07:00 | 7,417 | 28,403 | 35,820 |
| 08:00 | 6,894 | 26,691 | 33,585 |
| 09:00 | 6,547 | 26,105 | 32,652 |
| 10:00 | 6,195 | 26,068 | 32,263 |
| 11:00 | 6,061 | 23,740 | 29,801 |
| 12:00 | 5,790 | 23,038 | 28,828 |
| 13:00 | 5,862 | 22,905 | 28,767 |
| 14:00 | 5,731 | 23,304 | 29,035 |
| 15:00 | 6,061 | 24,165 | 30,226 |
| 16:00 | 6,219 | 24,422 | 30,641 |
| 17:00 | 6,163 | 23,420 | 29,583 |
| 18:00 | 5,832 | 21,404 | 27,236 |
| 19:00 | 4,548 | 16,813 | 21,361 |
| 20:00 | 2,801 | 11,117 | 13,918 |
| 21:00 | 1,420 | 5,937 | 7,357 |
| 22:00 | 672 | 2,815 | 3,487 |
| 23:00 | 330 | 1,475 | 1,805 |
